COMP_K,COMP_R,COMP_RHKMFWY,COMP_RHKM,MAXSW20_COMP_RHKMFWY,MAXSW20_COMP_RHKM,AVG_DNA_IDX,AVG_RNA_IDX,AVG_DRNA_IDX,MAXSW15_AVG_RNA_IDX
0.29132,0.1442,0.51921,0.31984,0.57143,0.46667,0.48368,0.36037,0.42871,0.35833
0.29855,0.11005,0.48571,0.30296,?,0.33333,0.43869,0.34381,0.39657,0.31538
?,0.17837,0.58792,0.50264,?,0.6,0.4485,?,0.43047,0.37436
0.17028,0.17019,0.58512,0.3293,0.71429,0.33333,0.58717,0.43079,0.51739,0.43654
?,0.2376,0.52987,0.39677,0.57143,0.46667,0.43745,0.39149,0.41764,0.33974
0.19128,0.0,0.43073,?,0.28571,0.13333,0.38063,0.37115,0.37732,0.1859
0.20305,0.18845,0.49322,0.33985,0.64286,0.53333,0.52455,0.41009,0.47372,?
?,0.17114,0.50853,0.21096,0.57143,0.33333,0.46552,0.41766,0.44492,0.44487
0.02541,0.31442,0.32357,0.23169,0.5,0.26667,0.37206,0.31079,?,0.49103
0.55703,0.0,0.64584,0.62205,0.57143,0.53333,0.45912,0.45903,?,0.26987
?,?,0.48696,0.36062,?,0.46667,0.46152,0.37217,0.42198,0.32372
0.06376,0.27616,0.51871,0.33299,0.71429,0.46667,0.44412,0.39601,0.42335,?
0.27181,0.07273,0.3286,?,?,0.46667,0.43202,0.31363,0.37916,?
0.28288,0.15138,0.4567,?,0.57143,0.4,0.45207,0.37361,0.41748,0.39487
0.13454,0.20566,0.38334,?,0.5,0.4,0.40877,0.34645,0.38142,0.33205
0.10394,?,0.35333,0.21865,?,0.46667,0.44352,0.31146,0.38445,0.43397
0.18039,0.34228,0.45045,0.36838,0.57143,0.6,0.44031,0.38952,0.41831,0.54231
0.27347,0.07252,0.36106,0.23443,0.42857,?,0.12692,0.01013,?,0.23205
0.14008,0.34668,0.56725,0.4253,0.5,0.4,0.50591,0.42288,0.46938,0.36282
?,0.16188,0.49449,0.34074,0.57143,0.46667,0.5029,0.38526,0.45057,0.47564
0.40394,0.1463,0.69813,0.61298,0.64286,0.46667,0.56527,0.53966,0.55509,0.40769
0.16962,?,0.59148,0.33263,0.71429,0.4,0.59721,0.44434,0.52906,0.55385
0.18174,0.18273,0.40833,0.27171,0.5,0.46667,0.45242,0.35835,0.41071,0.4
0.28848,0.20399,0.45254,0.29751,0.5,0.33333,0.40214,0.36189,0.38484,0.26795
0.27626,0.18286,?,0.36011,0.64286,0.4,0.52101,?,0.47551,0.3391
0.19727,0.13798,?,0.31895,?,0.46667,?,0.33704,0.36508,0.44423
0.13215,0.25698,0.54107,0.37949,0.57143,0.46667,0.53737,0.43837,?,0.55962
0.11591,0.22068,?,0.25441,?,0.33333,0.48525,0.38169,0.43929,0.33654
0.38447,0.1252,0.57297,0.38169,?,0.4,?,?,0.43296,0.325
0.08765,0.28923,0.25224,0.23355,0.42857,0.26667,0.33061,0.36287,0.34621,0.43269
0.34134,0.25344,0.4916,0.41273,0.5,?,0.45307,0.4211,?,0.31218
0.06837,0.33841,0.40149,0.24174,0.5,0.26667,0.48016,0.37883,0.43521,0.40128
0.1737,0.22472,0.49661,0.3233,0.71429,?,0.49785,?,0.45995,0.47372
0.41124,0.61953,?,0.7167,0.71429,0.6,0.67936,0.65022,0.66787,?
0.1425,0.18894,0.5138,0.34635,?,0.46667,?,0.38522,0.42233,0.41795
0.18507,0.23818,0.50806,0.36781,0.71429,0.53333,0.52113,0.41152,0.47251,0.53718
?,0.18308,0.57097,?,0.57143,0.46667,0.44937,0.3597,0.40965,?
0.22281,?,0.56898,0.44149,0.57143,0.53333,0.5108,?,0.50316,0.45064
0.35619,0.22594,0.56573,0.42465,0.85714,0.6,0.4812,0.37428,0.4337,0.5641
0.15154,0.1594,0.53015,0.26199,0.78571,0.4,?,0.37965,0.47057,0.40064
0.27609,0.19133,0.50476,0.34063,0.5,0.4,0.42929,0.37228,0.40443,0.38654
0.24478,0.1767,0.37665,0.30397,0.5,0.4,0.3532,0.33005,0.34357,0.30769
0.06813,?,0.41991,0.28434,0.5,0.26667,0.44625,0.38067,0.41752,0.34936
0.14146,0.1556,0.36914,0.26855,?,0.4,?,0.31956,0.35772,0.27308
0.25995,?,?,0.33593,0.5,0.4,0.46372,?,0.41703,0.2891
?,0.21977,0.40345,0.31094,0.57143,0.53333,0.42928,0.35415,0.39614,0.45321
0.21456,?,0.5073,0.41577,0.64286,0.66667,0.49789,0.40493,0.4568,0.63718
0.09117,0.19555,0.4354,0.26857,0.42857,0.33333,0.48309,0.36221,0.42923,0.36218
0.15586,0.25424,0.58713,0.38334,0.64286,0.46667,0.52587,0.40297,0.47119,0.41795
?,0.26342,0.41687,0.32567,0.42857,0.33333,0.47374,0.37527,0.43007,0.29551
0.19727,0.24412,0.45317,0.36386,0.64286,0.4,0.40265,0.38747,0.39679,0.41474
0.16844,0.19541,0.44758,0.31346,0.64286,0.33333,0.41231,0.39331,0.40473,0.40833
0.18985,0.21927,0.40931,0.32522,0.42857,0.4,?,0.38276,0.41781,0.41987
0.06499,0.26807,0.35121,0.23546,0.35714,0.33333,0.40852,0.33797,0.37742,0.39487
0.23013,?,0.54212,0.36701,0.64286,0.46667,0.50582,0.40844,0.46274,0.44359
0.18685,0.2114,0.52162,0.32693,0.71429,0.46667,0.49616,0.38858,0.4484,0.42692
0.07165,0.16254,0.38891,0.17769,0.57143,0.33333,?,0.35925,0.39604,0.30641
0.04737,0.37128,0.44758,0.35283,0.42857,0.33333,0.42446,0.39401,0.4117,0.30385
0.47522,0.19602,0.54946,0.4608,0.57143,0.46667,0.47166,0.41741,0.44817,0.39936
?,0.29386,0.53297,0.40583,0.5,?,0.58916,0.46746,0.5352,0.39808
0.02253,0.36242,0.47794,0.21408,0.5,0.2,0.46784,0.43296,0.45317,0.40385
0.08378,?,0.37492,0.12605,0.42857,0.33333,?,0.28997,0.39278,?
0.20588,0.17571,?,0.32057,0.78571,0.46667,0.49411,0.3782,0.44254,0.50192
0.15118,?,0.5532,?,0.64286,?,0.57814,0.39832,0.49764,0.40705
0.1438,0.26692,0.26249,0.25029,0.35714,0.4,?,0.30991,0.32434,0.46538
